Agent ID,Agent Name,Agent Type,Total Properties_x,Spoken Languages by Agent,Agent BRN,Company ID,Designation,Total Properties_y
a64eba9b-abe7-4e8b-9451-511d434f7980,Jubin Lodaya,SUPERAGENT,770,"['English', 'Hindi', 'Gujarati']",42733,150fd690-1f7a-45e1-a0b9-1cf7d0d26d9b,Portfolio Manager,770
92845743-62f0-4af7-8596-fe7f94d3f9b1,Muhammad Shoaib,SUPERAGENT,713,"['English', 'Urdu']",,31b39a9c-3e2a-4d71-ad4e-5e3ecc23c794,Property Leasing Consultant,713
dafb5e01-2429-4502-847f-e49d994b22fb,Hossein Mohajer,SUPERAGENT,472,['English'],47850,29e11b52-e16f-478e-a76a-a386cae9cd70,Associate Director,470
b9372ad7-6bb2-4e30-abe4-bc8cd39daecc,Chris Valentine,REGULAR,260,['English'],46536,820cf849-a702-43a3-b7aa-3d464a90db36,Dubailand Branch Manager,265
6ccd81b5-9da5-4b21-971a-8d684f4d0df4,Anna Petrova,REGULAR,782,"['English', 'Arabic', 'Russian']",,ab97aff5-2f6a-434d-80e8-5b0992c4016a,Property Consultant,782
295535bf-6935-4d8a-b4a7-eca82ac495bf,Gillian Quinn,SUPERAGENT,355,['English'],48087,be878123-53fe-4f73-8f65-eae356ac8501,Senior Sales Consultant,355
9383b777-367f-484c-adb5-aa7397d38ada,Sunny Adhiya,SUPERAGENT,71,"['English', 'Hindi', 'Gujarati']",32753,317fef56-509a-4074-8483-4e43cd4add40,Business Development Manager,71
ceb0a1b0-6cff-4a2b-ab9c-ac80ab2ab7e9,Shakeel Khan,REGULAR,299,['nan'],,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,AQUA Properties,
7210c99d-9c4c-449c-b135-3f6ad5e74d81,Charlie Wardale,REGULAR,313,['English'],54787,12d7c8bd-80a6-4e12-9ce4-d112e06fa5bc,Property Sales Consultant,326
7b210e6d-d4d9-4189-a776-1e8875a17249,Ryan Pall,REGULAR,261,"['English', 'Punjabi']",,73c08bc0-c392-43d8-8ba3-d0dec96a91aa,Real Estate Consultant,261
2e891170-ca21-4e8b-a81f-75325c011a36,Zaki Jawich,REGULAR,36,"['English', 'Arabic']",,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,HOME SWEET HOME REAL ESTATE,
ee0c89fb-e050-44cd-a443-da98a2ff1466,Vikesh Desai,REGULAR,32,"['English', 'Hindi', 'Gujarati']",37667,0cbf3a12-8f99-40d6-bd7c-84b6447aa366,Client Manager,32
d99bdfd3-9c2c-48b6-bd7e-a7360411f2bb,Adnan Aslam,REGULAR,137,"['English', 'Hindi', 'Urdu']",46467,3d229b3f-f7fb-41d4-908a-0479b78ac15a,Client Manager,137
59d8f704-b9ab-46e4-8ff9-25305ece2675,Jemcy Joy,SUPERAGENT,270,"['English', 'Hindi', 'Malayalam']",51876,bb749c40-99fd-493f-8f3d-a153a753da3e,Client Manager,266
997e5417-e9bc-49fc-bba7-7d31784b9f42,Jeetendra Punjabi,SUPERAGENT,67,"['English', 'French', 'Hindi', 'Gujarati', 'Punjabi']",40061,c21aaec6-49ad-4161-a410-c26e33dd55ca,Private Office Advisor,67
f71d5f28-dfa4-49d2-9fb3-dd6e76cede44,Bakhodur Khaidarzoda,SUPERAGENT,282,['English'],46715,80cd35c3-9690-4a87-8519-9bc96936bdce,Real Estate Broker,282
0349103e-6e93-4eff-8d42-3bc0f9e98fbe,Micheal Wilson,REGULAR,30,['nan'],,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Uber Homes Real Estate,
848283df-ca5d-400b-90f1-6243a1a50622,Fahad M.S. Sheikh,REGULAR,266,['English'],,285f84e3-c68d-449e-9b09-c8a02a83b9e3,Client Associate,266
6eeab94f-ceb7-40e5-a5ed-8910e79ce646,Samrawit fantu,REGULAR,305,"['English', 'Amharic']",60122,d8c580e6-1e04-4d71-be0a-ca4becc17304,Agent,305
a820a9d8-0f65-4f96-9d65-d2ec24336a8b,Muhammad Kamran,SUPERAGENT,109,"['English', 'Arabic', 'Urdu']",,aa9856b8-2f7b-4eaa-a68a-5719f56f216f,Property Consultant,109
dd17a1a5-474a-49ca-8131-fb052f329469,Evelina Bogotlieva,REGULAR,49,"['English', 'Russian', 'Bulgarian']",4634,04b3fd2b-fa92-400c-87ba-762cde12554e,Managing Partner,49
2e4c2aea-bd3b-4c53-a49f-82352b252458,Vivian Abdeen,SUPERAGENT,626,"['English', 'Tagalog']",35999,98e094cb-3cf7-47ad-b811-b96ce37436e9,Property Consultant,629
4ce03974-729a-475f-a1f8-77ca88d46b8e,Danny Stewart,REGULAR,260,['nan'],,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Allsopp & Allsopp - Motor City Sales,
be39d18a-bc80-4080-83a7-393539afa3db,Clara Reymond,SUPERAGENT,311,['English'],54101,a1014eec-dc0e-4c56-a8df-48be312681ef,Palm Specialist,309
f9a1345c-f1e2-4fe0-bb68-cbb639d7e252,Sergei Tarnovskii,REGULAR,118,"['English', 'Russian']",,6fecff2a-4dc3-4f29-a068-3863f7d08a0f,Bricks n Woods Real Estate Brokerage,
5930bcf7-b935-4b6d-b3fa-b2da00b79985,Umme Farwa,REGULAR,137,"['English', 'Hindi', 'Urdu']",30699,3d229b3f-f7fb-41d4-908a-0479b78ac15a,Director,137
aed3ccb8-06b8-483e-85a7-1ea2f36bdcb8,Nourhan Refaey,SUPERAGENT,374,"['English', 'Arabic']",45770,cb12c1df-9918-4cfc-9b77-d9d8f396346d,Sales Manager,367
e36adedc-349b-4122-9b7e-d4cd92c1732f,Xperience Realty Real Estate,REGULAR,31,"['English', 'Arabic', 'Persian/Farsi']",29027,68f5b8c7-2364-44a1-9f54-c32bd646141c,Xperience Realty Real Estate,31
7515fa67-5473-45fa-81f7-3fafe4519a05,Srikanth Kasula,REGULAR,190,"['English', 'Hindi', 'Urdu']",47765,34b01008-7341-438c-be10-d54bc1963790,Property Consultant,187
47bbbc74-8ab2-4493-ae02-e991f4f44f5a,Charlie Bierton,REGULAR,928,"['English', 'Arabic', 'French']",58580,6b903cc4-cca8-429e-a62a-64e61692519a,Real Estate Broker,920
ea19df1c-87e3-4267-a47a-6043ff3a41e1,Meryem Bouarsa,REGULAR,38,"['English', 'Arabic', 'French']",59283,4e4ee0f3-7370-4df3-b599-b4d1b47ebe28,CEO & FOUNDER,38
bbe7f8e9-f733-4ca3-9de0-edc3893f6c87,Bhagyashri Ramawat,SUPERAGENT,270,['English'],54415,bb749c40-99fd-493f-8f3d-a153a753da3e,Client Manager,266
1444cb8f-d1cc-43a1-88a1-364fb12d2812,Neville Dias,SUPERAGENT,69,"['English', 'Hindi']",53764,23cf9f1f-a554-4527-8049-379dc1091ef4,Property Consultant,69
ba92dcfc-4600-44cb-8529-4ccaa30f70d5,Natalia Perkitli,SUPERAGENT,799,"['English', 'Arabic', 'Russian', 'Turkish']",,e935404f-955a-4864-989d-957a4b7152e2,CEO,799
